Dia_Hora,Prod_Acumulada,Scrap_Total,Dinero_Perdido
Día 1 01:00,3324,46,2120.0
Día 1 02:00,7056,87,4006.67
Día 1 03:00,10776,126,5820.0
Día 1 04:00,14520,160,7400.0
Día 1 05:00,18240,200,9291.67
Día 1 06:00,21948,240,11116.67
Día 1 07:00,25692,269,12538.33
Día 1 08:00,29436,312,14506.67
Día 1 09:00,33168,351,16320.0
Día 1 10:00,36900,399,18563.33
Día 1 11:00,40632,442,20531.67
Día 1 12:00,44376,485,22550.0
Día 1 13:00,48108,528,24551.67
Día 1 14:00,51828,568,26410.0
Día 1 15:00,55548,619,28763.33
Día 1 16:00,59280,663,30818.33
Día 1 17:00,63000,701,32595.0
Día 1 18:00,66732,754,34996.67
Día 1 19:00,70476,791,36761.67
Día 1 20:00,74172,826,38403.33
Día 1 21:00,77904,879,40813.33
Día 1 22:00,81624,926,42995.0
Día 1 23:00,85344,967,44898.33
Día 2 00:00,89100,1015,47100.0
Día 2 01:00,92844,1058,49068.33
Día 2 02:00,96552,1101,51061.67
Día 2 03:00,100284,1157,53690.0
Día 2 04:00,104028,1204,55846.67
Día 2 05:00,107748,1252,58065.0
Día 2 06:00,111468,1299,60221.67
Día 2 07:00,115200,1344,62296.67
Día 2 08:00,118920,1386,64228.33
Día 2 09:00,122628,1424,66013.33
Día 2 10:00,126360,1474,68346.67
Día 2 11:00,130116,1520,70475.0
Día 2 12:00,133848,1564,72480.0
Día 2 13:00,137544,1610,74625.0
Día 2 14:00,141276,1643,76135.0
Día 2 15:00,145008,1681,77895.0
Día 2 16:00,148740,1727,79990.0
Día 2 17:00,152448,1778,82335.0
Día 2 18:00,156168,1807,83673.33
Día 2 19:00,159888,1850,85708.33
Día 2 20:00,163356,1878,88859.41
Día 2 21:00,166776,1918,90717.74
Día 2 22:00,170208,1954,92379.41
Día 2 23:00,173640,1987,93914.41
Día 3 00:00,177384,2028,95809.41
Día 3 01:00,181128,2075,97974.41
Día 3 02:00,184872,2119,99996.07
Día 3 03:00,188592,2158,101834.41
Día 3 04:00,192312,2193,103492.74
Día 3 05:00,196056,2227,105047.74
Día 3 06:00,199800,2273,107159.41
Día 3 07:00,203496,2312,108972.74
Día 3 08:00,207252,2354,110937.74
Día 3 09:00,210972,2400,113091.07
Día 3 10:00,214488,2446,116867.64
Día 3 11:00,217908,2486,118734.3
Día 3 12:00,221328,2530,120747.64
Día 3 13:00,224844,2579,123019.3
Día 3 14:00,228576,2617,124745.97
Día 3 15:00,232308,2665,126972.64
Día 3 16:00,236016,2724,129727.64
Día 3 17:00,239736,2763,131532.64
Día 3 18:00,243456,2802,133354.3
Día 3 19:00,247188,2843,135249.3
Día 3 20:00,250920,2877,136829.3
Día 3 21:00,254652,2920,138797.64
Día 3 22:00,258372,2976,141392.64
Día 3 23:00,262116,3015,143189.3
